sources,target,pieces,cosine,scaled_error,raw_error,sign_agreement,magnitude_ratio,random_percentile_at_least,random_p50,random_p90,random_p95,random_p99,local_abs_max,local_max,local_min,robust_min_cosine,robust_mean_cosine,symmetry,config_json
"1 R + 1 T + 1 A","Triangle Hat","3","0.8742","0.4856","0.8109","1","1.5235","0.99","0.4408","0.7378","0.7733","0.8114","false","false","false","0.4629","0.6414","0.6667","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-2,""y"":0},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":2,""y"":0}]"
"4 R","Round Hat","4","0.9334","0.3589","1.6146","1","2.5076","0.99","0.3235","0.7817","0.845","0.8801","false","false","false","0.7159","0.7874","1","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":1,""y"":3}]"
"2 R + 3 A","Triangle Hat","5","0.9223","0.3865","1.4339","1","2.3032","0.99","0.6023","0.8295","0.8542","0.8896","false","false","false","0.7786","0.858","0.8","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":0,""y"":2},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-3,""y"":-3}]"
"4 R + 1 T + 1 A","Triangle Hat","6","0.9178","0.397","1.3673","1","2.2262","0.99","0.5203","0.7728","0.8083","0.85","false","false","false","0.7136","0.8109","0.5","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-3},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":2,""y"":0}]"
"1 R + 1 T + 2 A","Triangle Hat","4","0.9171","0.3987","1.3557","1","2.2128","0.99","0.4632","0.7686","0.8004","0.8569","false","false","false","0.7102","0.7962","0.75","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":2,""y"":0},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-2,""y"":0}]"
"1 T + 2 A","Triangle Hat","3","0.8895","0.457","0.9903","1","1.768","0.99","0.4677","0.7431","0.7815","0.823","false","false","false","0.5398","0.6684","0.6667","[{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":2,""y"":0},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-2,""y"":0}]"
"4 T + 1 B","Big Hat","5","0.8637","0.5039","0.7292","0.9792","1.3907","0.99","0.4666","0.638","0.7093","0.7668","false","false","false","0.6852","0.7982","0.8","[{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-1},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":-1},{""piece"":""Tower"",""type"":""rook"",""x"":0,""y"":-1},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-2},{""piece"":""Big Hat"",""type"":""king"",""x"":0,""y"":2}]"
"3 R + 1 T + 1 A","Triangle Hat","5","0.9084","0.4182","1.2548","1","2.0914","0.99","0.5081","0.7781","0.8098","0.8624","false","false","false","0.7826","0.8322","0.4","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-2,""y"":0},{""piece"":""Round Hat"",""type"":""pawn"",""x"":2,""y"":0},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-3,""y"":1},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":-1}]"
"3 R + 3 A","Triangle Hat","6","0.9201","0.3917","1.4473","1","2.3134","0.99","0.538","0.813","0.8589","0.8935","false","false","false","0.7695","0.8227","0.6667","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-1,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-1,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":-3}]"
"2 R + 1 A","Round Hat","3","0.8802","0.4746","0.9167","1","1.6645","0.99","0.2253","0.7812","0.824","0.8579","false","false","false","0.2918","0.5588","0.3333","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-3,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":3}]"
