target,rank,sources,pieces,cosine,sign_agreement,magnitude_ratio,random_percentile_at_least,robust_min_cosine,local_abs_max,config_json,diagram
"Tower","10","3 T + 1 A","4","0.731","0.9318","1.5423","0.99","0.5064","false","[{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":3},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-2,""y"":0}]"," T  .  .  .  .  .  T
 .  .  .  .  .  .  .
 .  .  .  .  .  .  .
 .  A  .  *  .  .  .
 .  .  .  .  .  .  .
 .  .  .  .  .  .  .
 .  .  .  .  .  .  T"
"Tower","11","2 R + 3 T + 1 A","6","0.7716","0.8409","1.8918","0.99","0.5822","false","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":2},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":-3},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-2,""y"":0}]"," T  .  .  .  .  .  T
 .  .  .  .  .  .  .
 .  .  .  .  .  .  .
 .  A  .  *  .  .  .
 .  .  .  .  .  .  .
 .  .  R  R  .  .  .
 .  .  .  .  .  .  T"
"Tower","12","1 R + 3 T + 1 A","5","0.7339","0.9318","1.5915","0.99","0.6114","false","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-2,""y"":0},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":3},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":-3}]"," T  .  .  .  .  .  A
 .  .  .  .  .  .  .
 .  .  .  .  .  .  .
 .  R  .  *  .  .  .
 .  .  .  .  .  .  .
 .  .  .  .  .  .  .
 T  .  .  .  .  .  T"
"Triangle Hat","1","4 R","4","0.8937","1","1.2865","0.99","0.4788","false","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-3}]"," .  .  R  R  .  .  .
 .  .  .  R  .  .  .
 .  .  .  .  .  .  .
 .  .  .  *  .  .  .
 .  .  .  .  .  .  .
 .  .  .  R  .  .  .
 .  .  .  .  .  .  ."
"Triangle Hat","2","5 R","5","0.919","1","1.6003","0.99","0.6738","false","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-3,""y"":0},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":3}]"," .  .  R  .  .  .  .
 .  .  .  R  .  .  .
 .  .  .  .  .  .  .
 R  .  .  *  .  .  .
 .  .  .  .  .  .  .
 .  .  .  R  .  .  .
 .  .  R  .  .  .  ."
"Triangle Hat","3","2 R","2","0.8683","1","1.0522","0.99","0.4034","false","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2}]"," .  .  R  .  .
 .  .  .  .  .
 .  .  *  .  .
 .  .  .  .  .
 .  .  R  .  ."
"Triangle Hat","4","1 R + 1 A","2","0.8906","1","1.2962","0.99","0.4201","false","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":0,""y"":2}]"," .  .  R  .  .
 .  .  .  .  .
 .  .  *  .  .
 .  .  .  .  .
 .  .  A  .  ."
"Triangle Hat","5","6 R","6","0.9108","1","1.5511","0.99","0.589","false","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-2,""y"":-3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":1,""y"":3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":2,""y"":3}]"," .  R  R  .  .  .  .
 .  .  .  R  .  .  .
 .  .  .  .  .  .  .
 .  .  .  *  .  .  .
 .  .  .  .  .  .  .
 .  .  .  R  .  .  .
 .  .  .  .  R  R  ."
"Triangle Hat","6","2 A","2","0.9093","1","1.5342","0.99","0.5196","false","[{""piece"":""Triangle Hat"",""type"":""spy"",""x"":0,""y"":-2},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":0,""y"":2}]"," .  .  A  .  .
 .  .  .  .  .
 .  .  *  .  .
 .  .  .  .  .
 .  .  A  .  ."
"Triangle Hat","7","3 R","3","0.857","1","1.0282","0.99","0.3666","false","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-3,""y"":3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":3,""y"":3}]"," .  .  .  .  .  .  .
 .  .  .  R  .  .  .
 .  .  .  .  .  .  .
 .  .  .  *  .  .  .
 .  .  .  .  .  .  .
 .  .  .  .  .  .  .
 R  .  .  .  .  .  R"
